time_1,sb_1,pb_1,wb_1,time_2,sb_2,pb_2,wb_2,time_3,sb_3,pb_3,wb_3,time_4,sb_4,pb_4,wb_4,time_5,sb_5,pb_5,wb_5,time_6,sb_6,pb_6,wb_6,time_7,sb_7,pb_7,wb_7,time_8,sb_8,pb_8,wb_8,time_9,sb_9,pb_9,wb_9,time_10,sb_10,pb_10,wb_10
0.00021,-4.20061578090198e-05,29060.5118452195,-0.288001561980393,0.00021,-2.009409868741e-05,59332.9442761137,-0.228462331579188,0.00021,-1.92521783903304e-05,60496.2868488236,-0.226174300570277,0.00021,-5.68308439322321e-05,8583.46132832611,-0.328275499585052,0.00021,4.26000211087987e-05,146128.461171121,-0.057802391824031,0.00021,-2.1712934342542e-05,57096.1305791388,-0.23286163973791,0.00021,6.46409730022858e-06,96042.6099276871,-0.156263926033803,0.00021,1.24518043146866e-05,104324.491099148,-0.139976405270124,0.00021,8.44907491843062e-05,194973.579135735,0.0991532424356955,0.00021,4.22462191806757e-05,145635.451589154,-0.0587700720254961
0.00022,-4.48801228054227e-05,29060.5118452195,-0.286552273343236,0.00022,-2.23738558033551e-05,59332.9442761137,-0.227299413513449,0.00022,-2.15091003569496e-05,60496.2868488236,-0.225022316577305,0.00022,-6.01067400401483e-05,8583.46132832611,-0.326631089055287,0.00022,4.20238024277433e-05,146128.461171121,-0.0573937257034699,0.00022,-2.40365976168675e-05,57096.1305791388,-0.2316776801752,0.00022,4.90492170029171e-06,96042.6099276871,-0.155441545146955,0.00022,1.10551975511141e-05,104324.491099148,-0.139228847365058,0.00022,8.54982403760982e-05,194973.579135735,0.102321434719238,0.00022,4.16603351022905e-05,145635.451589154,-0.0583583156105896
0.00023,-4.77324760388282e-05,29060.5118452195,-0.28368503394179,0.00023,-2.4636337955746e-05,59332.9442761137,-0.225011969582816,0.00023,-2.37489133176558e-05,60496.2868488236,-0.222757084278848,0.00023,-6.33580768744119e-05,8583.46132832611,-0.323370278061942,0.00023,4.14530867990062e-05,146128.461171121,-0.0567030417817148,0.00023,-2.63426666544787e-05,57096.1305791388,-0.229347511230159,0.00023,3.35782868423921e-06,96042.6099276871,-0.153850597506669,0.00023,9.66952179331089e-06,104324.491099148,-0.137793068507026,0.00023,8.6536706099564e-05,194973.579135735,0.105348097549788,0.00023,4.10800090855237e-05,145635.451589154,-0.0576597383111648
0.00024,-5.05492236073973e-05,29060.5118452195,-0.279438041726657,0.00024,-2.68704474250622e-05,59332.9442761137,-0.221630361355379,0.00024,-2.59606308672861e-05,60496.2868488236,-0.219408664421876,0.00024,-6.65689018179553e-05,8583.46132832611,-0.318536571736805,0.00024,4.08906544448736e-05,146128.461171121,-0.0557385434066786,0.00024,-2.86198297106845e-05,57096.1305791388,-0.225902072956393,0.00024,1.83040238655678e-06,96042.6099276871,-0.151511972770217,0.00024,8.30156805053302e-06,104324.491099148,-0.135687830664665,0.00024,8.76047297368452e-05,194973.579135735,0.108232987526009,0.00024,4.05080688007629e-05,145635.451589154,-0.0566826636977448
0.00025,-5.33167853735431e-05,29060.5118452195,-0.273855798814031,0.00025,-2.90654153076439e-05,59332.9442761137,-0.217189948521547,0.00025,-2.81335921552163e-05,60496.2868488236,-0.215012065670978,0.00025,-6.97237335422982e-05,8583.46132832611,-0.312180662524671,0.00025,4.03391972959935e-05,146128.461171121,-0.0545096745932491,0.00025,-3.08571101281601e-05,57096.1305791388,-0.221377400057074,0.00025,3.30000836465523e-07,96042.6099276871,-0.148449973579258,0.00025,6.95792430854832e-06,104324.491099148,-0.132934950775427,0.00025,8.8700892870721e-05,194973.579135735,0.110975987846197,0.00025,3.99472523159358e-05,145635.451589154,-0.0554366775546073
0.00026,-5.60220563786832e-05,29060.5118452195,-0.266988781835787,0.00026,-3.12108502051125e-05,59332.9442761137,-0.211730827149931,0.00026,-3.0257510085605e-05,60496.2868488236,-0.209606985472483,0.00026,-7.28076320269716e-05,8583.46132832611,-0.304360054574151,0.00026,3.98013069220509e-05,146128.461171121,-0.0530270517292358,0.00026,-3.30439159668902e-05,57096.1305791388,-0.215814355125484,0.00026,-1.13627728584186e-06,96042.6099276871,-0.144692136035992,0.00026,5.64494577468544e-06,104324.491099148,-0.129559139733364,0.00026,8.98237765405617e-05,194973.579135735,0.113577106287227,0.00026,3.94001958170469e-05,145635.451589154,-0.0539325585041506
0.00027,-5.86524648369752e-05,29060.5118452195,-0.258893087744712,0.00027,-3.32967841976684e-05,59332.9442761137,-0.205297548491813,0.00027,-3.23225168285913e-05,60496.2868488236,-0.203237531663027,0.00027,-7.58062646808648e-05,8583.46132832611,-0.295138660140323,0.00027,3.92794631693735e-05,146128.461171121,-0.0513023905609001,0.00027,-3.51700868659274e-05,57096.1305791388,-0.20925834205764,0.00027,-2.56162403042549e-06,96042.6099276871,-0.140269036914109,0.00027,4.3687267932132e-06,104324.491099148,-0.125587829510166,0.00027,9.09719624777008e-05,194973.579135735,0.116036473109719,0.00027,3.88694220469224e-05,145635.451589154,-0.0521822038191942
0.00028,-6.11960264734883e-05,29060.5118452195,-0.249630057268971,0.00028,-3.53137159154064e-05,59332.9442761137,-0.197938820075539,0.00028,-3.43192064584581e-05,60496.2868488236,-0.195951926546469,0.00028,-7.8705968298039e-05,8583.46132832611,-0.284586370499677,0.00028,3.87760235502647e-05,146128.461171121,-0.0493484289482874,0.00028,-3.72259379475038e-05,57096.1305791388,-0.201759001411742,0.00028,-3.9395515695573e-06,96042.6099276871,-0.135214088797181,0.00028,3.13507454440503e-06,104324.491099148,-0.12105098947847,0.00028,9.21440343195022e-05,194973.579135735,0.118354338892464,0.00028,3.83573295078704e-05,145635.451589154,-0.0501985509131342
0.00029,-6.36413949945955e-05,29060.5118452195,-0.239265878285636,0.00029,-3.72526505395064e-05,59332.9442761137,-0.189707190892078,0.00029,-3.62386745523132e-05,60496.2868488236,-0.187802195222418,0.00029,-8.14938066059983e-05,8583.46132832611,-0.272778603964204,0.00029,3.82932134236385e-05,146128.461171121,-0.0471788459521729,0.00029,-3.92023005921002e-05,57096.1305791388,-0.193369889550348,0.00029,-5.2639194858256e-06,96042.6099276871,-0.129563324377955,0.00029,1.94948462976645e-06,104324.491099148,-0.115980933042897,0.00029,9.33385788014306e-05,194973.579135735,0.120531072299169,0.00029,3.78661824687883e-05,145635.451589154,-0.0479954950603991
0.0003,-6.59779085013941e-05,29060.5118452195,-0.227871171446107,0.0003,-3.9105136583432e-05,59332.9442761137,-0.180658722522903,0.0003,-3.80725546009325e-05,60496.2868488236,-0.178843839999024,0.0003,-8.41576231906483e-05,8583.46132832611,-0.259795833653352,0.0003,3.78331170002514e-05,146128.461171121,-0.0448081779675929,0.0003,-4.10905599316911e-05,57096.1305791388,-0.184148143451991,0.0003,-6.52895985430502e-06,96042.6099276871,-0.123355171185848,0.0003,8.17118634692578e-07,104324.491099148,-0.110412115714504,0.0003,9.45541869264641e-05,194973.579135735,0.122567157780587,0.0003,3.73981018111514e-05,145635.451589154,-0.0455878040313535
