time_1,u1_1,u2_1,pb_1,sb_1,wb_1,time_2,u1_2,u2_2,pb_2,sb_2,wb_2,time_3,u1_3,u2_3,pb_3,sb_3,wb_3,time_4,u1_4,u2_4,pb_4,sb_4,wb_4,time_5,u1_5,u2_5,pb_5,sb_5,wb_5
0.02003,39.8840493747661,103.095120329654,115138.836128191,1.2801843357018e-05,-0.0012805010554445,0.02003,23.0533291187229,39.8840493747661,199040.786726453,0.000242166012334133,-0.019348668911846,0.02003,104.489113488444,64.0541836859029,300718.166141311,0.00059385944208575,0,0.02003,60.5901517346078,2.12223095596287,245268.675086431,0.000486199416942455,-0.135523198383724,0.02003,155.105530802805,128.935700888112,282127.060948298,0.000498414095873813,0.0490910839569484
0.02004,39.8840493747661,104.081602963235,115120.818464478,1.27890274037544e-05,-0.00128265767181592,0.02004,22.530471925865,39.8840493747661,198636.396303905,0.000241964209338813,-0.021029648070679,0.02004,103.406163543305,64.0541836859029,300565.087794671,0.00059385944208575,0,0.02004,60.5901517346078,2.0723715381894,244871.785431126,0.000484831221263149,-0.138114973291405,0.02004,155.290274034757,128.935700888112,282459.422389551,0.000498917799595519,0.0516570682368026
0.02005,39.8840493747661,105.068085596816,115102.841800808,1.2776190774831e-05,-0.00128464267664564,0.02005,22.0076147330071,39.8840493747661,198235.896508989,0.000241745068067021,-0.0228159819688245,0.02005,102.323213598166,64.0541836859029,300408.422307251,0.00059385944208575,0,0.02005,60.5901517346078,2.02251212041593,244477.467755971,0.000483437141977413,-0.140699393823054,0.02005,155.475017266709,128.935700888112,282790.188227682,0.000499447379559117,0.0542657283087108
0.02006,39.8840493747661,106.054568230398,115084.894601932,1.27633350047303e-05,-0.00128649104577773,0.02006,21.4847575401492,39.8840493747661,197839.541005548,0.000241507546987418,-0.0247050997201107,0.02006,101.240263653028,64.0541836859029,300251.336655811,0.00059385944208575,0,0.02006,60.5901517346078,1.97265270264246,244085.911778227,0.000482017268467651,-0.143273291051156,0.02006,155.659760498661,128.935700888112,283117.908570293,0.00050000324347194,0.0569131648627304
0.02007,39.8840493747661,107.041050863979,115066.972523935,1.27504613192769e-05,-0.00128822956654242,0.02007,20.9619003472913,39.8840493747661,197447.553927223,0.000241250634915328,-0.0266935427880419,0.02007,100.157313707889,64.0541836859029,300094.986233535,0.00059385944208575,0,0.02007,60.5901517346078,1.92279328486899,243697.286524787,0.000480571721791853,-0.145833498594329,0.02007,155.844503730613,128.935700888112,283441.711829107,0.000500585757758618,0.0595950601528635
0.02008,39.8840493747661,108.027533497561,115049.073881677,1.27375707135023e-05,-0.00128987787403063,0.02008,20.4390431544332,39.8840493747661,197060.162922904,0.000240973358739141,-0.0287771878194148,0.02008,99.0743637627498,64.0541836859029,299940.657159929,0.000593855567832615,-0.000820326564744578,0.02008,60.5901517346078,1.8729338670955,243311.627507741,0.000479100654608213,-0.148376873720116,0.02008,156.029246962565,128.935700888112,283760.952087807,0.000501195244309859,0.0623068411690604
0.02009,39.8840493747661,109.014016131142,115031.19797804,1.27246640149529e-05,-0.00129145010210531,0.02009,19.9161859615753,39.8840493747661,196677.561924053,0.000240674789124933,-0.0309514321124652,0.02009,97.991413817611,64.0541836859029,299789.375571971,0.000593843832070515,-0.00149181761054014,0.02009,60.5901517346078,1.82307444932203,242929.015073072,0.000477604250766018,-0.150900316865954,0.02009,156.213990194517,128.935700888112,284075.108623718,0.000501831978398011,0.0650437655823567
0.0201,39.8840493747661,110.000498764724,115013.344486644,1.27117419310131e-05,-0.00129295637028593,0.0201,19.3933287687174,39.8840493747661,196299.945703791,0.000240354044524336,-0.0332113410562029,0.0201,96.9084638724722,64.0541836859029,299640.699236946,0.000593826313018834,-0.00198795941734945,0.0201,60.5901517346078,1.77321503154855,242549.460464556,0.00047608272485615,-0.153400785223243,0.0201,156.398733426469,128.935700888112,284382.98118474,0.000502496186938654,0.0678008607598107
0.02011,39.8840493747661,110.986981398305,114995.513222795,1.26988050829884e-05,-0.00129440394005671,0.02011,18.8704715758595,39.8840493747661,195927.479373377,0.000240010293926533,-0.0355517582378921,0.02011,95.8255139273335,64.0541836859029,299494.292239985,0.000593804474720452,-0.00236295380043634,0.02011,60.5901517346078,1.72335561377508,242173.013360842,0.000474536321627653,-0.155875286990194,0.02011,156.583476658421,128.935700888112,284683.152895963,0.000503188044537047,0.0705726245740806
0.02012,39.8840493747661,111.973464031887,114977.704057812,1.26858540302161e-05,-0.00129579806243302,0.02012,18.3476143830016,39.8840493747661,195560.32252854,0.000239642758664364,-0.0379673812163095,0.02012,94.7425639821947,64.0541836859029,299349.908712281,0.000593779336417331,-0.00265281973600391,0.02012,60.5901517346078,1.67349619600161,241799.691497104,0.000472965315416231,-0.158320899391854,0.02012,156.768219890373,128.935700888112,284975.072866112,0.000503907669014812,0.0733532629212147
0.02013,39.8840493747661,112.959946665468,114959.916886509,1.2672889286974e-05,-0.00129714258232101,0.02013,17.8247571901437,39.8840493747661,195198.613218456,0.000239250713584351,-0.0404528175419131,0.02013,93.6596140370559,64.0541836859029,299207.36707655,0.000593751620685844,-0.00288172711657908,0.02013,60.5901517346078,1.62363677822814,241429.509690569,0.000471370009500676,-0.160734757018304,0.02013,156.952963122325,128.935700888112,285258.562728658,0.000504655119916057,0.0761369395823386
0.02014,39.8840493747661,113.94642929905,114942.151614534,1.26599113342902e-05,-0.00129844036360066,0.02014,17.3018999972858,39.8840493747661,194842.476430205,0.000238833487759384,-0.0430026193655873,0.02014,92.5766640919172,64.0541836859029,299066.530898599,0.000593721849597653,-0.00306615283720026,0.02014,60.5901517346078,1.57377736045467,241062.496953464,0.000469750735425303,-0.163114071079188,0.02014,157.137706354277,128.935700888112,285533.59055425,0.000505430398662721,0.0789178765502771
0.02015,39.8840493747661,114.932911932631,114924.408153225,1.26469206281793e-05,-0.0012996935860331,0.02015,16.7790428044279,39.8840493747661,194492.023759615,0.000238390464893327,-0.0456113118743301,0.02015,91.4937141467784,64.0541836859029,298927.295477884,0.000593690407465298,-0.003217517285942,0.02015,60.5901517346078,1.5239179426812,240698.71761683,0.000468107852318417,-0.165456113476849,0.02015,157.322449586229,128.935700888112,285800.187239621,0.000506233449376545,0.0816903964385217
0.02016,39.8840493747661,115.919394566212,114906.686417364,1.26339176053882e-05,-0.00130090395189901,0.02016,16.25618561157,39.8840493747661,194147.348673286,0.000237921083502571,-0.0482734104818448,0.02016,90.4107642016397,64.0541836859029,298789.578610469,0.000593657582406271,-0.00334386019653681,0.02016,60.5901517346078,1.47405852490772,240339.031623203,0.000466441746729085,-0.167758071853766,0.02016,157.507192818181,128.935700888112,286058.415423012,0.000507064159999733,0.084448943276921
0.02017,39.8840493747661,117.287481223209,114888.986324124,1.26209026874097e-05,-0.00130207282955183,0.02017,15.9464818198232,39.8840493747661,193808.535925568,0.000237424836925125,-0.0509834372458088,0.02017,88.9326593409981,64.0541836859029,298653.314223252,0.000593623594359477,-0.00345092159135123,0.02017,60.5901517346078,1.44412302253769,239984.102976853,0.000464752834764589,-0.170016864146315,0.02017,157.703538042024,128.935700888112,286308.357753019,0.000507922363576018,0.0871880950756493
0.02018,39.8840493747661,118.655567880206,114871.3077925,1.26078762832929e-05,-0.00130320135305851,0.02018,15.6367780280765,39.8840493747661,193475.662387076,0.000236901273202568,-0.0537359311127007,0.02018,87.4545544803569,64.0541836859029,298518.447954292,0.000593588614289351,-0.00354285195689474,0.02018,60.5901517346078,1.41418752016767,239634.096306422,0.000463041563805685,-0.172229351146148,0.02018,157.899883265867,128.935700888112,286550.112278208,0.000508807839638495,0.0899025730858278
0.02019,39.8840493747661,120.023654537203,114853.650742988,1.25948387916198e-05,-0.001304290491337,0.02019,15.3270742363298,39.8840493747661,193148.819755012,0.000236349994889167,-0.056525450216267,0.02019,85.9764496197158,64.0541836859029,298384.934053514,0.000593552777549679,-0.00362268755239598,0.02019,60.5901517346078,1.38425201779766,239288.996158779,0.000461308412339603,-0.174392462725147,0.02019,158.096228489709,128.935700888112,286783.79044786,0.000509720315681752,0.0925872495686567
0.0202,39.8840493747661,121.391741194199,114836.015097374,1.25817906019019e-05,-0.00130534109612761,0.0202,15.0173704445831,39.8840493747661,192828.046318875,0.000235770658817962,-0.059346585222639,0.0202,84.4983447590746,64.0541836859029,298252.733186376,0.000593516193306563,-0.0036926740333079,0.0202,60.5901517346078,1.35431651542764,238948.717979515,0.000459553888998399,-0.176503244651218,0.0202,158.292573713552,128.935700888112,287009.516062226,0.000510659468707223,0.0952371547364829
0.02021,39.8840493747661,122.759827851196,114819.102504224,1.2568732258286e-05,-0.00130628152004575,0.02021,14.7076666528364,39.8840493747661,192513.352855655,0.000235162975656678,-0.062193980917539,0.02021,83.0202398984334,64.0541836859029,298118.456886036,0.000593478950470979,-0.00375484181426806,0.02021,60.5901517346078,1.32438101305762,238612.306036795,0.000457778531085764,-0.178558971112932,0.02021,158.488918937395,128.935700888112,287229.293317105,0.000511624927302219,0.0978476931765105
0.02022,39.8840493747661,124.127914508192,114804.765991504,1.25556671561117e-05,-0.00130656203837704,0.02022,14.3979628610897,39.8840493747661,192204.734140099,0.000234526709300827,-0.0650623486502994,0.02022,81.5421350377922,64.0541836859029,297974.245019855,0.000593441109432521,-0.0038131013902852,0.02022,60.5901517346078,1.29444551068761,238277.447640754,0.000455982899439986,-0.180557758828439,0.02022,158.685264161237,128.935700888112,287448.283243115,0.000512616281583701,0.100415987016807
0.02023,39.8840493747661,125.496001165189,114793.150483014,1.25426057235848e-05,-0.00130545429730918,0.02023,14.088259069343,39.8840493747661,191902.191806608,0.000233861676174581,-0.0679464714148826,0.02023,80.0640301771511,64.0541836859029,297821.936554479,0.000593402688541476,-0.0038712641310219,0.02023,60.5901517346078,1.26451000831759,237944.253785267,0.000454167570122474,-0.182498272911233,0.02023,158.88160938508,128.935700888112,287667.577924651,0.000513633101633541,0.102940626954398
