u1,u2,p,s
106.085644860578,95,2.13625693458174,0.518494452334612
106.301478831784,95,2.13690443649535,0.517976450803718
106.51731280299,95,2.13755193840897,0.517458449272825
106.733146774195,95,2.13819944032259,0.516940447741931
106.948980745401,95,2.1388469422362,0.516422446211038
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.139,0.5163
107,95,2.13854981137137,0.5163
107,95,2.1376856424779,0.5163
107,95,2.13682147358443,0.5163
107,95,2.13595730469096,0.5163
107,95,2.13509313579749,0.5163
107,95,2.135,0.5163
107,95,2.135,0.5163
107,95,2.135,0.5163
107,95,2.135,0.5163
107,95,2.13562097468661,0.5163
107,95,2.13670014454271,0.5163
107,95,2.13777931439881,0.5163
107,95,2.13885848425492,0.5163
107,95,2.13993765411102,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
107,95,2.14,0.5163
106.845940297212,95,2.14,0.5163
106.630935630984,95,2.14,0.5163
106.415930964755,95,2.14,0.5163
106.200926298527,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14,0.5163
106,95,2.14035422660041,0.5163
106,95,2.14078614506519,0.5163
106,95,2.14121806352997,0.5163
106,95,2.14164998199474,0.5163
106,95,2.142,0.5163
106,95,2.142,0.5163
106,95,2.142,0.5163
106,95,2.142,0.5163
106,95,2.142,0.5163
106,95,2.14141837064824,0.5163
106,95,2.14077248854639,0.5163
106,95,2.14012660644454,0.5163
106,95,2.13948072434268,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.139,0.5163
106,95,2.13900223080006,0.516294646079847
106,95,2.13921756636302,0.515777840728762
106,95,2.13943290192597,0.515261035377676
106,95,2.13964823748892,0.51474423002659
106,95,2.13986357305187,0.514227424675504
106,95,2.14,0.5139
106,95,2.14,0.5139
106,95,2.14,0.5139
106,95,2.14,0.5139
106.019383510502,95,2.14,0.5139
106.235092663473,95,2.14,0.5139
106.450801816445,95,2.14,0.5139
106.666510969416,95,2.14,0.5139
106.882220122388,95,2.14,0.5139
107,95,2.14,0.5139
107,95,2.14,0.5139
107,95,2.14,0.5139
107,95,2.14,0.5139
107,95,2.13997052806918,0.5139
107,95,2.13975427689217,0.5139
107,95,2.13953802571516,0.5139
107,95,2.13932177453815,0.5139
107,95,2.13910552336113,0.5139
107,95,2.139,0.5139
107,95,2.139,0.5139
107,95,2.139,0.5139
107,95,2.139,0.5139
107,95,2.13928501492049,0.5139
107,95,2.14057901979905,0.5139
107,95,2.14187302467761,0.5139
107,95,2.14316702955617,0.5139
107,95,2.14446103443474,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.145,0.5139
107,95,2.14492700364572,0.5139
107,95,2.1447111282351,0.5139
107,95,2.14449525282448,0.5139
107,95,2.14427937741386,0.5139
107,95,2.14406350200324,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.144,0.5139
107,95,2.14429950022982,0.5139
107,95,2.14494612968346,0.5139
107,95,2.1455927591371,0.5139
107,95,2.14623938859074,0.5139
107,95,2.14688601804438,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.147,0.5139
107,95,2.14725532357869,0.5139
107,95,2.14768417832965,0.5139
107,95,2.14811303308061,0.5139
107,95,2.14854188783157,0.5139
107,95,2.14897074258253,0.5139
107,95,2.149,0.5139
107,95,2.149,0.5139
107,95,2.149,0.5139
107,95,2.149,0.5139
107,95,2.149,0.5139
107,95,2.149,0.5139
